"Nombre","Foto","Posicion","Nacionalidades","Edad","Club","ValorMasAlto","ValorActual","Ultimarevisión"
"Lautaro Martínez","https://img.a.transfermarkt.technology/portrait/medium/406625-1695024988.jpg?lm=1","Delantero centro","Argentina","27","Inter de Milán","110,00 mill. €","95,00 mill. €","25/03/2025"
"Nicolò Barella","https://img.a.transfermarkt.technology/portrait/medium/255942-1725531625.jpg?lm=1","Mediocentro","Italia","28","Inter de Milán","80,00 mill. €","80,00 mill. €","18/12/2024"
"Alessandro Bastoni","https://img.a.transfermarkt.technology/portrait/medium/315853-1742497518.jpg?lm=1","Defensa central","Italia","26","Inter de Milán","80,00 mill. €","80,00 mill. €","25/03/2025"
"Rafael Leão","https://img.a.transfermarkt.technology/portrait/medium/357164-1730126553.jpg?lm=1","Extremo izquierdo","Portugal, Angola","26","AC Milan","90,00 mill. €","75,00 mill. €","18/12/2024"
"Marcus Thuram","https://img.a.transfermarkt.technology/portrait/medium/318528-1746041509.jpg?lm=1","Delantero centro","Francia, Guadalupe","27","Inter de Milán","75,00 mill. €","75,00 mill. €","18/12/2024"
"Federico Dimarco","https://img.a.transfermarkt.technology/portrait/medium/198116-1725531769.jpg?lm=1","Lateral izquierdo","Italia","27","Inter de Milán","60,00 mill. €","60,00 mill. €","18/12/2024"
"Ademola Lookman","https://img.a.transfermarkt.technology/portrait/medium/406040-1682076571.jpg?lm=1","Mediapunta","Nigeria, Inglaterra","27","Atalanta de Bérgamo","60,00 mill. €","60,00 mill. €","25/03/2025"
"Christian Pulisic","https://img.a.transfermarkt.technology/portrait/medium/315779-1691696699.jpg?lm=1","Extremo derecho","Estados Unidos, Croacia","26","AC Milan","60,00 mill. €","50,00 mill. €","18/12/2024"
"Bremer","https://img.a.transfermarkt.technology/portrait/medium/516716-1725531520.jpg?lm=1","Defensa central","Brasil","28","Juventus de Turín","60,00 mill. €","50,00 mill. €","25/03/2025"
"Éderson","https://img.a.transfermarkt.technology/portrait/medium/607854-1646648856.jpg?lm=1","Mediocentro","Brasil","25","Atalanta de Bérgamo","50,00 mill. €","50,00 mill. €","18/12/2024"
"Dušan Vlahović","https://img.a.transfermarkt.technology/portrait/medium/357498-1683293071.jpg?lm=1","Delantero centro","Serbia","25","Juventus de Turín","85,00 mill. €","45,00 mill. €","25/03/2025"
"Kenan Yıldız","https://img.a.transfermarkt.technology/portrait/medium/845654-1700467996.png?lm=1","Extremo izquierdo","Turquía, Alemania","20","Juventus de Turín","45,00 mill. €","45,00 mill. €","18/12/2024"
"Alessandro Buongiorno","https://img.a.transfermarkt.technology/portrait/medium/386446-1663596475.jpg?lm=1","Defensa central","Italia","26","SSC Nápoles","45,00 mill. €","45,00 mill. €","18/12/2024"
"Mateo Retegui","https://img.a.transfermarkt.technology/portrait/medium/554903-1681311414.jpg?lm=1","Delantero centro","Italia, Argentina","26","Atalanta de Bérgamo","45,00 mill. €","45,00 mill. €","25/03/2025"
"Theo Hernández","https://img.a.transfermarkt.technology/portrait/medium/339808-1725532072.jpg?lm=1","Lateral izquierdo","Francia, España","27","AC Milan","60,00 mill. €","40,00 mill. €","25/03/2025"
"Teun Koopmeiners","https://img.a.transfermarkt.technology/portrait/medium/360518-1707302998.jpg?lm=1","Mediocentro ofensivo","Países Bajos","27","Juventus de Turín","55,00 mill. €","40,00 mill. €","25/03/2025"
"Andrea Cambiaso","https://img.a.transfermarkt.technology/portrait/medium/459658-1662127057.jpg?lm=1","Lateral izquierdo","Italia","25","Juventus de Turín","40,00 mill. €","40,00 mill. €","18/12/2024"
"Khéphren Thuram","https://img.a.transfermarkt.technology/portrait/medium/463618-1683889273.jpg?lm=1","Mediocentro","Francia, Guadalupe","24","Juventus de Turín","40,00 mill. €","40,00 mill. €","25/03/2025"
"Moise Kean","https://img.a.transfermarkt.technology/portrait/medium/364135-1725532147.jpg?lm=1","Delantero centro","Italia, Costa de Marfil","25","Fiorentina","40,00 mill. €","40,00 mill. €","25/03/2025"
"Scott McTominay","https://img.a.transfermarkt.technology/portrait/medium/315969-1718626681.jpg?lm=1","Mediocentro","Escocia, Inglaterra","28","SSC Nápoles","40,00 mill. €","40,00 mill. €","18/12/2024"
"Douglas Luiz","https://img.a.transfermarkt.technology/portrait/medium/447661-1696598670.jpg?lm=1","Mediocentro","Brasil","27","Juventus de Turín","70,00 mill. €","38,00 mill. €","25/03/2025"
"Charles De Ketelaere","https://img.a.transfermarkt.technology/portrait/medium/435772-1659601388.jpg?lm=1","Mediocentro ofensivo","Bélgica","24","Atalanta de Bérgamo","38,00 mill. €","38,00 mill. €","18/12/2024"
"Santiago Gimenez","https://img.a.transfermarkt.technology/portrait/medium/552955-1739903736.jpg?lm=1","Delantero centro","México, Italia","24","AC Milan","50,00 mill. €","37,00 mill. €","17/12/2024"
"Francisco Conceição","https://img.a.transfermarkt.technology/portrait/medium/487474-1749069081.jpg?lm=1","Extremo derecho","Portugal","22","Juventus de Turín","36,00 mill. €","36,00 mill. €","18/12/2024"
"Manu Koné","https://img.a.transfermarkt.technology/portrait/medium/624690-1691248968.jpg?lm=1","Mediocentro","Francia, Costa de Marfil","24","AS Roma","40,00 mill. €","35,00 mill. €","25/03/2025"
